#sample_id,sample_name,bam_dir,bam_file
231,AoafAlnRep1,,wgEncodeUwDnaseAoafAlnRep1.bam
232,AoafAlnRep2,,wgEncodeUwDnaseAoafAlnRep2.bam
233,Be2cAlnRep1,,wgEncodeUwDnaseBe2cAlnRep1.bam
234,Be2cAlnRep2,,wgEncodeUwDnaseBe2cAlnRep2.bam
235,BjAlnRep1,,wgEncodeUwDnaseBjAlnRep1.bam
236,BjAlnRep2,,wgEncodeUwDnaseBjAlnRep2.bam
237,Caco2AlnRep1,,wgEncodeUwDnaseCaco2AlnRep1.bam
238,Caco2AlnRep2,,wgEncodeUwDnaseCaco2AlnRep2.bam
239,Cd20ro01778AlnRep1,,wgEncodeUwDnaseCd20ro01778AlnRep1.bam
240,Cd20ro01778AlnRep2,,wgEncodeUwDnaseCd20ro01778AlnRep2.bam
241,Cd34mobilizedAlnRep1,,wgEncodeUwDnaseCd34mobilizedAlnRep1.bam
242,Cd4naivewb11970640AlnRep1,,wgEncodeUwDnaseCd4naivewb11970640AlnRep1.bam
243,Cd4naivewb78495824AlnRep1,,wgEncodeUwDnaseCd4naivewb78495824AlnRep1.bam
244,CmkAlnRep1,,wgEncodeUwDnaseCmkAlnRep1.bam
245,Gm04503AlnRep1,,wgEncodeUwDnaseGm04503AlnRep1.bam
246,Gm04503AlnRep2,,wgEncodeUwDnaseGm04503AlnRep2.bam
247,Gm04504AlnRep1,,wgEncodeUwDnaseGm04504AlnRep1.bam
248,Gm04504AlnRep2,,wgEncodeUwDnaseGm04504AlnRep2.bam
249,Gm06990AlnRep1,,wgEncodeUwDnaseGm06990AlnRep1.bam
250,Gm06990AlnRep2,,wgEncodeUwDnaseGm06990AlnRep2.bam
251,Gm12864AlnRep1,,wgEncodeUwDnaseGm12864AlnRep1.bam
252,Gm12865AlnRep1,,wgEncodeUwDnaseGm12865AlnRep1.bam
253,Gm12865AlnRep2,,wgEncodeUwDnaseGm12865AlnRep2.bam
254,Gm12878AlnRep1,,wgEncodeUwDnaseGm12878AlnRep1.bam
255,Gm12878AlnRep2,,wgEncodeUwDnaseGm12878AlnRep2.bam
256,H1hescAlnRep1,,wgEncodeUwDnaseH1hescAlnRep1.bam
257,H7esAlnRep1,,wgEncodeUwDnaseH7esAlnRep1.bam
258,H7esAlnRep2,,wgEncodeUwDnaseH7esAlnRep2.bam
259,H7esDiffa14dAlnRep1,,wgEncodeUwDnaseH7esDiffa14dAlnRep1.bam
260,H7esDiffa14dAlnRep2,,wgEncodeUwDnaseH7esDiffa14dAlnRep2.bam
261,H7esDiffa2dAlnRep1,,wgEncodeUwDnaseH7esDiffa2dAlnRep1.bam
262,H7esDiffa5dAlnRep1,,wgEncodeUwDnaseH7esDiffa5dAlnRep1.bam
263,H7esDiffa5dAlnRep2,,wgEncodeUwDnaseH7esDiffa5dAlnRep2.bam
264,H7esDiffa9dAlnRep1,,wgEncodeUwDnaseH7esDiffa9dAlnRep1.bam
265,HacAlnRep1,,wgEncodeUwDnaseHacAlnRep1.bam
266,HacAlnRep2,,wgEncodeUwDnaseHacAlnRep2.bam
267,HaeAlnRep1,,wgEncodeUwDnaseHaeAlnRep1.bam
268,HaeAlnRep2,,wgEncodeUwDnaseHaeAlnRep2.bam
269,HahAlnRep1,,wgEncodeUwDnaseHahAlnRep1.bam
270,HahAlnRep2,,wgEncodeUwDnaseHahAlnRep2.bam
271,HaspAlnRep1,,wgEncodeUwDnaseHaspAlnRep1.bam
272,HaspAlnRep2,,wgEncodeUwDnaseHaspAlnRep2.bam
273,HbmecAlnRep1,,wgEncodeUwDnaseHbmecAlnRep1.bam
274,HbmecAlnRep2,,wgEncodeUwDnaseHbmecAlnRep2.bam
275,HbvpAlnRep1,,wgEncodeUwDnaseHbvpAlnRep1.bam
276,HbvsmcAlnRep1,,wgEncodeUwDnaseHbvsmcAlnRep1.bam
277,HbvsmcAlnRep2,,wgEncodeUwDnaseHbvsmcAlnRep2.bam
278,HcfAlnRep1,,wgEncodeUwDnaseHcfAlnRep1.bam
279,HcfAlnRep2,,wgEncodeUwDnaseHcfAlnRep2.bam
280,HcfaaAlnRep1,,wgEncodeUwDnaseHcfaaAlnRep1.bam
281,HcfaaAlnRep2,,wgEncodeUwDnaseHcfaaAlnRep2.bam
282,HcmAlnRep1,,wgEncodeUwDnaseHcmAlnRep1.bam
283,HcmAlnRep2,,wgEncodeUwDnaseHcmAlnRep2.bam
284,HconfAlnRep1,,wgEncodeUwDnaseHconfAlnRep1.bam
285,HconfAlnRep2,,wgEncodeUwDnaseHconfAlnRep2.bam
286,HcpeAlnRep1,,wgEncodeUwDnaseHcpeAlnRep1.bam
287,HcpeAlnRep2,,wgEncodeUwDnaseHcpeAlnRep2.bam
